datetime,1F_AC-W,1F_LTG-W,1F_SP-W,2F_AC-W,2F_LTG-W,2F_SP-W,GF_AC-W,GF_LTG-W,GF_SP-W,LIFT-W,PUBLIC_AC-W,PUBLIC_LTG-W,PUBLIC_LTG_E-W,PUBLIC_SP-W,PUBLIC_SP_E-W,PUMP1-W,PUMP2-W
2015-09-01 00:00:00,,,2400.0,,,,4.8,60.0,3588.0,182.3999999994412,4596.0,452.4,279.6,615.5999999988824,2220.0,207.59999999776483,0.0
2015-09-01 01:00:00,,,2200.0,,,,5.0,40.0,3410.0,186.0,4410.0,459.0,278.0,621.0000000009313,2270.0,326.00000000186265,0.0
2015-09-01 02:00:00,,,2160.0,,,,4.0,50.0,3480.0,185.0,4470.0,454.0,275.0,610.0000000009313,2230.0,92.0,0.0
2015-09-01 03:00:00,,,2060.0,,,,5.0,40.0,3320.0,180.00000000046566,4360.0,461.0,279.0,616.9999999990687,2240.0,96.0,0.0
2015-09-01 04:00:00,,,1960.0,,,,4.0,50.0,3550.0,183.99999999906868,4470.0,452.0,271.9999999998836,606.0,2230.0,93.0,0.0
2015-09-01 05:00:00,,,2020.0,,,,5.0,50.0,3470.0,182.00000000046566,4480.0,464.0,277.0000000001164,617.0,2270.0,279.0,0.0
2015-09-01 06:00:00,,,2000.0,,,,4.000000000931323,40.0,3450.0,187.0,4390.0,498.0,269.0,602.0,2220.0,886.0,0.0
2015-09-01 07:00:00,,,2080.0,,,,135.99999999906868,50.0,3380.0,184.00000000046566,5130.0,818.0,270.0000000001164,1347.0,2300.0,533.0,0.0
2015-09-01 08:00:00,,,2050.0,,,,163.0,40.0,3600.0,370.0,5090.0,710.0,268.0,1303.0,2280.0,463.0,0.0
2015-09-01 09:00:00,,,2570.0,,,,219.99999999906868,70.0,3470.0,610.9999999995343,5140.0,722.0,270.9999999998836,1395.9999999990687,2350.0,704.0,0.0
2015-09-01 10:00:00,,,9330.0,,,,3442.0000000009313,6820.0,4060.0,587.0,5260.0,705.9999999995343,268.0,1293.0000000009313,2580.0,942.0,0.0
2015-09-01 11:00:00,,,35450.0,,,,3548.0,6780.0,3930.0,352.00000000046566,5080.0,816.0000000004657,310.0,1232.0,2570.0,1139.0,1.9999999998835847
2015-09-01 12:00:00,,,36410.0,,,,3542.0,6440.0,4090.0,345.0,5370.0,953.9999999995343,354.0,1445.0,2600.0,1329.0,1.0000000001164153
2015-09-01 13:00:00,,,37700.0,,,,3083.0,6860.0,4560.0,502.99999999953434,5510.0,720.0000000004657,294.9999999998836,1373.0,2530.0,1320.0,0.9999999998835847
2015-09-01 14:00:00,,,35400.0,,,,2786.0000000009313,6740.0,4350.0,,5470.0,728.0,313.0,1402.9999999990687,2590.0,1473.0,1.0000000001164153
2015-09-01 15:00:00,,,35630.0,,,,2427.9999999990687,6740.0,4360.0,526.9999999995343,5830.0,904.0,354.00000000023283,1441.0000000009313,2560.0,1076.0,6.999999999883585
2015-09-01 16:00:00,,,34010.0,,,,3122.0,6500.0,4150.0,421.00000000046566,5960.0,714.0,322.99999999976717,1222.0,2610.0,1059.9999999981374,2.0
2015-09-01 17:00:00,,,33250.0,,,,3670.0,5350.0,4170.0,415.99999999953434,5820.0,786.0,279.0000000001164,1485.0,2570.0,1496.0000000018626,0.0
2015-09-01 18:00:00,,,26110.0,,,,,5960.0,4110.0,292.00000000046566,5970.0,779.0,285.0,1798.0,2730.0,1438.0,1.0
2015-09-01 19:00:00,,,23010.0,,,,3602.9999999990687,5070.0,3970.0,277.0,5830.0,510.00000000046566,278.0,2227.0,2790.0,1434.0,0.0
2015-09-01 20:00:00,,,26230.0,,,,3575.0,6010.0,3950.0,292.0,5960.0,697.0,285.0,2655.0,2840.0,1505.0,0.0
2015-09-01 21:00:00,,,30980.0,,,,3580.0,5760.0,3680.0,289.0,5850.0,570.9999999995343,279.0,2653.0,2800.0,1706.9999999981374,0.0
2015-09-01 22:00:00,,,34870.0,,,,3345.0,6460.0,3300.0,284.0,5980.0,465.99999999953434,281.0000000001164,2607.9999999990687,2870.0,1860.0000000018626,0.9999999998835847
2015-09-01 23:00:00,,,18170.0,,,,3393.0,5710.0,3390.0,198.99999999953434,5910.0,467.00000000046566,271.9999999998836,1363.0000000018626,2510.0,739.9999999981374,1.0000000001164153
2015-09-02 00:00:00,,,9960.0,,,,1886.0,3750.0,3290.0,186.00000000046566,5140.0,454.99999999953434,276.0,710.9999999990687,2430.0,350.00000000186265,0.0
2015-09-02 01:00:00,,,1970.0,,,,5.0,50.0,3500.0,186.0,4810.0,453.0,274.0000000001164,615.0,2430.0,166.0,0.0
2015-09-02 02:00:00,,,2250.0,,,,5.0,50.0,3320.0,186.00000000046566,4910.0,451.00000000046566,270.99999999976717,608.0000000009313,2390.0,178.99999999813735,0.0
2015-09-02 03:00:00,,,2160.0,,,,5.0,50.0,3390.0,181.99999999953434,4850.0,462.0,280.0000000001164,620.9999999990687,2440.0,168.00000000186265,0.0
2015-09-02 04:00:00,,,2080.0,,,,4.000000000931323,40.0,3500.0,186.0,4960.0,455.0,277.0,609.0,2410.0,97.0,0.0
2015-09-02 05:00:00,,,2020.0,,,,5.0,50.0,3500.0,183.0,4870.0,464.0,277.0000000001164,617.0,2450.0,93.0,0.0
2015-09-02 06:00:00,,,2010.0,,,,4.0,40.0,3460.0,188.0,4620.0,489.0,266.9999999998836,605.0,2410.0,378.00000000186265,0.0
2015-09-02 07:00:00,,,2060.0,,,,136.99999999906868,50.0,3510.0,182.99999999953434,5250.0,820.0000000004657,268.9999999998836,1302.0,2530.0,507.99999999813735,0.0
2015-09-02 08:00:00,,,2030.0,,,,160.0,50.0,3380.0,316.0000000009313,5300.0,654.9999999995343,268.0000000001164,1447.0,2520.0,602.0,0.0
2015-09-02 09:00:00,,,2490.0,,,,266.0,260.0,3460.0,337.99999999953434,5360.0,628.0,278.0,1289.0000000009313,2530.0,838.0,0.0
2015-09-02 10:00:00,,,27030.0,,,,3020.0,6470.0,4210.0,368.0,5610.0,645.0,275.0,1281.0,2560.0,1325.9999999981374,1.0000000001164153
2015-09-02 11:00:00,,,27430.0,,,,3460.9999999990687,5600.0,3740.0,377.0,5790.0,953.0,281.0,1279.9999999990687,2520.0,1137.0000000018626,0.0
2015-09-02 12:00:00,,,23500.0,,,,3174.0,5070.0,3760.0,310.0,5740.0,851.0,291.0,1231.0,2620.0,879.0,0.9999999998835847
2015-09-02 13:00:00,,,24400.0,,,,3564.0000000009313,5440.0,4010.0,430.0,5850.0,830.0,284.0,1075.0,2570.0,1032.0,0.0
2015-09-02 14:00:00,,,29320.0,,,,3513.0000000009313,5600.0,3970.0,392.0,5460.0,668.0000000004657,285.0,1284.0,2610.0,1482.0,0.0
2015-09-02 15:00:00,,,25260.0,,,,3418.9999999990687,4180.0,3930.0,448.99999999953434,5820.0,743.9999999995343,284.0,1222.0,2550.0,1362.0,0.0
2015-09-02 16:00:00,,,28270.0,,,,3034.9999999990687,4500.0,4040.0,438.00000000046566,5970.0,746.0,289.0,1277.0,2620.0,1517.0,0.0
2015-09-02 17:00:00,,,24340.0,,,,2996.0000000009313,3700.0,4060.0,282.0,5890.0,803.9999999995343,284.0,1302.0,2580.0,1632.0,0.0
2015-09-02 18:00:00,,,24810.0,,,,3038.9999999990687,4350.0,4050.0,298.0,6060.0,620.0,287.0,1563.0000000009313,2760.0,1060.0000000018626,1.0
2015-09-02 19:00:00,,,25250.0,,,,3168.0000000009313,3520.0,3870.0,307.0,5930.0,629.0000000004657,278.9999999998836,1621.9999999990687,2810.0,1183.9999999962747,0.0
2015-09-02 20:00:00,,,26790.0,,,,3131.0,4510.0,3940.0,324.0,6030.0,878.0,282.0000000001164,1474.0,2860.0,1317.0000000018626,0.0
2015-09-02 21:00:00,,,27340.0,,,,3077.0,3580.0,3760.0,317.0,5940.0,546.0000000004657,286.0,1850.0,2860.0,1599.0,0.0
2015-09-02 22:00:00,,,21900.0,,,,1743.9999999990687,2500.0,3360.0,273.0,6080.0,467.99999999953434,281.0000000001164,1734.0,2800.0,1793.0,0.9999999998835847
2015-09-02 23:00:00,,,12920.0,,,,43.00000000093132,60.0,3430.0,197.0,5830.0,474.0,281.9999999998836,1222.0,2570.0,413.0,0.0
2015-09-03 00:00:00,,,2150.0,,,,4.000000000931323,40.0,3500.0,188.99999999953434,4800.0,451.0,270.0,721.0,2430.0,91.0,0.0
2015-09-03 01:00:00,,,2120.0,,,,5.0,50.0,3420.0,187.00000000046566,4410.0,460.0,275.0,617.0000000009313,2450.0,99.0,0.0
2015-09-03 02:00:00,,,2010.0,,,,4.999999999068677,50.0,3570.0,189.00000000046566,4530.0,455.0,275.0,607.9999999990687,2420.0,88.0,0.0
2015-09-03 03:00:00,,,2720.0,,,,4.000000000931323,40.0,3570.0,186.99999999953434,4550.0,465.0,278.9999999998836,620.0,2480.0,855.0,0.0
2015-09-03 04:00:00,,,2430.0,,,,5.0,50.0,3440.0,190.0,4470.0,459.0,271.0000000001164,611.0,2440.0,600.0,0.0
2015-09-03 05:00:00,,,1980.0,,,,661.9999999990687,40.0,3550.0,186.99999999953434,4590.0,464.99999999953434,278.0,621.0000000009313,2480.0,866.0,0.0
2015-09-03 06:00:00,,,2100.0,,,,274.0,50.0,3600.0,188.00000000046566,4830.0,524.0000000004657,273.0,620.9999999990687,2460.0,366.0,0.0
2015-09-03 07:00:00,,,2050.0,,,,337.0,40.0,3530.0,186.0,5380.0,955.9999999995343,261.0,1286.0,2470.0,456.0,0.0
2015-09-03 08:00:00,,,1950.0,,,,1278.0,1290.0,3690.0,310.0,5350.0,670.0,263.0,1323.0,2540.0,504.00000000186265,0.0
2015-09-03 09:00:00,,,1930.0,,,,3071.0,5600.0,3970.0,,5520.0,685.0,277.0,1221.0,2510.0,585.9999999981374,0.0
2015-09-03 10:00:00,,,9720.0,,,,3093.0000000009313,5390.0,4500.0,,5460.0,761.0000000004657,275.0,1282.0,2550.0,1221.0,0.0
2015-09-03 11:00:00,,,,,,,3092.9999999990687,5940.0,4050.0,,6180.0,703.0,277.0,1215.9999999990687,2520.0,1332.0,2.0000000002328306
2015-09-03 12:00:00,,,38270.0,,,,3233.0,5800.0,4220.0,,5870.0,933.0,288.0,1268.0000000009313,2570.0,1174.0,0.9999999998835847
2015-09-03 13:00:00,,,41320.0,,,,,4710.0,4270.0,,5710.0,678.0,284.0000000001164,1295.0,2530.0,1488.9999999981374,1.0
2015-09-03 14:00:00,,,38950.0,,,,3552.9999999990687,6020.0,,,5600.0,703.0000000004657,287.99999999976717,1393.0,2580.0,1564.0000000018626,0.9999999998835847
2015-09-03 15:00:00,,,45120.0,,,,3607.0000000009313,5660.0,4150.0,,5610.0,704.9999999995343,283.0000000001164,1268.0,2540.0,1517.0,4.000000000116415
2015-09-03 16:00:00,,,44810.0,,,,3620.9999999990687,6400.0,4150.0,,5860.0,801.0,290.0,1366.0,2580.0,1540.0,2.0
2015-09-03 17:00:00,,,43640.0,,,,3581.9999999990687,5360.0,4460.0,520.0,5810.0,877.0,290.0,1541.0000000009313,2590.0,1327.0000000018626,1.0000000001164153
2015-09-03 18:00:00,,,38520.0,,,,3637.0000000018626,5410.0,4180.0,379.0,5990.0,633.9999999995343,283.0,2487.9999999990687,2670.0,1809.9999999981374,0.9999999998835847
2015-09-03 19:00:00,,,40570.0,,,,3186.0,4740.0,4400.0,342.0,5910.0,499.00000000046566,283.0,2111.0,2830.0,1684.0,0.0
2015-09-03 20:00:00,,,40080.0,,,,3064.9999999990687,5380.0,3980.0,346.0,6040.0,497.0,280.0000000001164,2594.9999999990687,2780.0,1793.0,1.9999999998835847
2015-09-03 21:00:00,,,36830.0,,,,3129.0,4700.0,3320.0,293.0,6050.0,488.0,284.9999999998836,2640.0000000009313,2840.0,1874.0,1.0000000001164153
2015-09-03 22:00:00,,,21720.0,,,,1473.9999999990687,2160.0,3420.0,360.0,5610.0,461.0,276.0,2603.0,2790.0,1316.0,1.9999999998835847
2015-09-03 23:00:00,,,2070.0,,,,43.00000000093132,50.0,3540.0,272.0,5450.0,460.0,276.0,1433.0000000009313,2620.0,95.0,0.0
2015-09-04 00:00:00,,,2100.0,,,,5.0,50.0,3390.0,276.0,4650.0,455.0,272.0,733.9999999990687,2500.0,101.0,0.0
2015-09-04 01:00:00,,,2110.0,,,,4.0,40.0,3530.0,269.0,4520.0,445.0,276.9999999998836,612.0,2550.0,89.0,0.0
2015-09-04 02:00:00,,,2080.0,,,,5.0,50.0,3530.0,272.99999999953434,4430.0,464.99999999953434,275.0,621.0,2550.0,86.0,0.0
2015-09-04 03:00:00,,,2600.0,,,,4.000000000931323,50.0,3600.0,269.00000000046566,4530.0,457.00000000046566,272.0000000001164,613.0,2510.0,451.0,0.0
2015-09-04 04:00:00,,,2110.0,,,,4.999999999068677,40.0,3570.0,272.00000000046566,4460.0,466.00000000046566,281.0,627.0,2570.0,269.0,0.0
2015-09-04 05:00:00,,,2050.0,,,,657.0,50.0,3460.0,267.99999999953434,4530.0,457.99999999953434,269.0,613.0,2510.0,86.0,0.0
2015-09-04 06:00:00,,,2060.0,,,,259.0,50.0,3540.0,275.0,4500.0,531.0,275.0000000001164,620.0,2550.0,576.0,0.0
2015-09-04 07:00:00,,,1980.0,,,,361.0,40.0,3610.0,310.0,5060.0,786.0000000004657,260.9999999998836,1495.0000000009313,2500.0,786.0,0.0
2015-09-04 08:00:00,,,2050.0,,,,1054.0,40.0,3400.0,347.0,5290.0,627.9999999995343,266.9999999998836,1393.9999999981374,2530.0,477.0,0.0
2015-09-04 09:00:00,,,2550.0,,,,1495.0,2670.0,3810.0,449.0,4810.0,679.0,256.0000000001164,1418.0000000009313,2490.0,598.0,0.0
2015-09-04 10:00:00,,,16390.0,,,,3548.0,6340.0,4010.0,,4740.0,933.0,337.0,1358.0,2510.0,1016.0,0.0
