datetime,GF,day,hour
2016-01-01 00:00:00,2689.9999999962747,1,0
2016-01-01 01:00:00,2879.0000000074506,1,1
2016-01-01 02:00:00,3061.9999999962747,1,2
2016-01-01 03:00:00,2884.9999999962747,1,3
2016-01-01 04:00:00,2936.000000011176,1,4
2016-01-01 05:00:00,2873.9999999925494,1,5
2016-01-01 06:00:00,2980.0,1,6
2016-01-01 07:00:00,3074.9999999981374,1,7
2016-01-01 08:00:00,3941.0000000018626,1,8
2016-01-01 09:00:00,7275.0,1,9
2016-01-01 10:00:00,8168.000000003725,1,10
2016-01-01 11:00:00,8755.000000003725,1,11
2016-01-01 12:00:00,8300.999999988824,1,12
2016-01-01 13:00:00,8065.000000001863,1,13
2016-01-01 14:00:00,7709.0,1,14
2016-01-01 15:00:00,7846.000000001863,1,15
2016-01-01 16:00:00,7811.000000003725,1,16
2016-01-01 17:00:00,8526.999999996275,1,17
2016-01-01 18:00:00,7465.999999998137,1,18
2016-01-01 19:00:00,6680.000000001863,1,19
2016-01-01 20:00:00,6061.000000001863,1,20
2016-01-01 21:00:00,6706.999999988824,1,21
2016-01-01 22:00:00,5194.000000009313,1,22
2016-01-01 23:00:00,3085.0,1,23
2016-01-02 00:00:00,2959.0000000037253,2,0
2016-01-02 01:00:00,2902.9999999962747,2,1
2016-01-02 02:00:00,2920.0000000037253,2,2
2016-01-02 03:00:00,3079.9999999925494,2,3
2016-01-02 04:00:00,2940.0000000037253,2,4
2016-01-02 05:00:00,2865.0,2,5
2016-01-02 06:00:00,2892.9999999962747,2,6
2016-01-02 07:00:00,3159.0000000037253,2,7
2016-01-02 08:00:00,4366.000000001863,2,8
2016-01-02 09:00:00,6756.999999998137,2,9
2016-01-02 10:00:00,6456.0,2,10
2016-01-02 11:00:00,6342.0,2,11
2016-01-02 12:00:00,6408.999999992549,2,12
2016-01-02 13:00:00,6791.000000009313,2,13
2016-01-02 14:00:00,6877.0,2,14
2016-01-02 15:00:00,6606.999999996275,2,15
2016-01-02 16:00:00,7059.000000001863,2,16
2016-01-02 17:00:00,7753.0,2,17
2016-01-02 18:00:00,7714.0,2,18
2016-01-02 19:00:00,7667.0,2,19
2016-01-02 20:00:00,8692.999999996275,2,20
2016-01-02 21:00:00,7571.000000007451,2,21
2016-01-02 22:00:00,5440.999999996275,2,22
